antecedent,consequent,support,confidence,lift
{44},{20},0.109,0.293,1.084
{20},{48},0.128,0.472,0.986
{48},{20},0.128,0.267,0.986
{20},{49},0.108,0.398,1.025
{49},{20},0.108,0.277,1.025
{16},{20},0.145,0.282,1.043
{20},{16},0.145,0.535,1.043
{20},{26},0.111,0.409,0.993
{26},{20},0.111,0.269,0.993
{20},{46},0.103,0.38,1.02
{46},{20},0.103,0.276,1.02
{20},{32},0.112,0.416,1.007
{32},{20},0.112,0.272,1.007
{21},{28},0.105,0.342,0.998
{28},{21},0.105,0.306,0.998
{21},{30},0.182,0.594,1.055
{30},{21},0.182,0.323,1.055
{21},{34},0.196,0.64,0.999
{34},{21},0.196,0.306,0.999
{21},{44},0.124,0.404,1.082
{44},{21},0.124,0.332,1.082
{21},{48},0.146,0.477,0.995
{48},{21},0.146,0.305,0.995
{21},{49},0.124,0.406,1.044
{49},{21},0.124,0.32,1.044
{16},{21},0.166,0.324,1.058
{21},{16},0.166,0.543,1.058
{21},{26},0.133,0.434,1.053
{26},{21},0.133,0.323,1.053
{12},{21},0.114,0.312,1.019
{21},{12},0.114,0.372,1.019
{21},{42},0.107,0.349,1.101
{42},{21},0.107,0.338,1.101
{21},{46},0.117,0.383,1.029
{46},{21},0.117,0.315,1.029
{21},{32},0.13,0.425,1.031
{32},{21},0.13,0.316,1.031
{21},{39},0.102,0.334,1.057
{39},{21},0.102,0.324,1.057
{24},{30},0.121,0.568,1.009
{30},{24},0.121,0.214,1.009
{24},{34},0.141,0.666,1.039
{34},{24},0.141,0.221,1.039
{16},{24},0.12,0.233,1.098
{24},{16},0.12,0.564,1.098
{28},{30},0.196,0.573,1.018
{30},{28},0.196,0.348,1.018
{28},{34},0.23,0.672,1.048
{34},{28},0.23,0.359,1.048
{28},{44},0.128,0.375,1.006
{44},{28},0.128,0.344,1.006
{28},{48},0.171,0.499,1.042
{48},{28},0.171,0.357,1.042
{28},{49},0.138,0.403,1.036
{49},{28},0.138,0.355,1.036
{15},{28},0.11,0.36,1.05
{28},{15},0.11,0.321,1.05
{16},{28},0.188,0.365,1.067
{28},{16},0.188,0.548,1.067
{26},{28},0.147,0.356,1.04
{28},{26},0.147,0.429,1.04
{2},{28},0.104,0.382,1.116
{28},{2},0.104,0.304,1.116
{12},{28},0.139,0.38,1.11
{28},{12},0.139,0.405,1.11
{28},{42},0.116,0.338,1.066
{42},{28},0.116,0.365,1.066
{28},{46},0.128,0.373,1.002
{46},{28},0.128,0.343,1.002
{28},{32},0.148,0.433,1.048
{32},{28},0.148,0.359,1.048
{28},{39},0.115,0.336,1.064
{39},{28},0.115,0.364,1.064
{30},{31},0.1,0.178,1.074
{31},{30},0.1,0.605,1.074
{30},{34},0.368,0.653,1.02
{34},{30},0.368,0.574,1.02
{30},{44},0.217,0.384,1.031
{44},{30},0.217,0.581,1.031
{30},{48},0.282,0.501,1.047
{48},{30},0.282,0.59,1.047
{30},{49},0.229,0.407,1.047
{49},{30},0.229,0.59,1.047
{3},{30},0.142,0.598,1.062
{30},{3},0.142,0.253,1.062
{15},{30},0.185,0.604,1.073
{30},{15},0.185,0.328,1.073
{16},{30},0.29,0.565,1.003
{30},{16},0.29,0.515,1.003
{26},{30},0.245,0.593,1.053
{30},{26},0.245,0.434,1.053
{30},{41},0.115,0.204,0.985
{41},{30},0.115,0.555,0.985
{2},{30},0.156,0.574,1.019
{30},{2},0.156,0.278,1.019
{12},{30},0.215,0.588,1.044
{30},{12},0.215,0.382,1.044
{30},{35},0.121,0.216,0.973
{35},{30},0.121,0.548,0.973
{30},{42},0.188,0.333,1.049
{42},{30},0.188,0.591,1.049
{30},{46},0.226,0.401,1.077
{46},{30},0.226,0.607,1.077
{30},{32},0.245,0.434,1.052
{32},{30},0.245,0.593,1.052
{30},{37},0.136,0.241,1.035
{37},{30},0.136,0.583,1.035
{30},{39},0.193,0.342,1.084
{39},{30},0.193,0.61,1.084
{30},{43},0.126,0.224,1.077
{43},{30},0.126,0.607,1.077
{30},{47},0.119,0.211,1.023
{47},{30},0.119,0.576,1.023
{5},{30},0.127,0.56,0.995
{30},{5},0.127,0.226,0.995
{30},{33},0.105,0.187,1.109
{33},{30},0.105,0.625,1.109
{29},{30},0.163,0.583,1.036
{30},{29},0.163,0.29,1.036
{30},{38},0.157,0.279,1.038
{38},{30},0.157,0.584,1.038
{31},{34},0.109,0.657,1.026
{34},{31},0.109,0.17,1.026
{34},{44},0.25,0.39,1.044
{44},{34},0.25,0.669,1.044
{34},{48},0.316,0.494,1.031
{48},{34},0.316,0.661,1.031
{34},{49},0.254,0.396,1.018
{49},{34},0.254,0.652,1.018
{3},{34},0.162,0.679,1.06
{34},{3},0.162,0.253,1.06
{13},{34},0.103,0.694,1.084
{34},{13},0.103,0.161,1.084
{15},{34},0.202,0.66,1.03
{34},{15},0.202,0.315,1.03
{16},{34},0.332,0.648,1.011
{34},{16},0.332,0.519,1.011
{26},{34},0.27,0.654,1.02
{34},{26},0.27,0.421,1.02
{34},{41},0.142,0.221,1.07
{41},{34},0.142,0.685,1.07
{2},{34},0.187,0.685,1.07
{34},{2},0.187,0.292,1.07
{12},{34},0.238,0.65,1.015
{34},{12},0.238,0.371,1.015
{34},{35},0.148,0.231,1.044
{35},{34},0.148,0.669,1.044
{34},{42},0.209,0.326,1.027
{42},{34},0.209,0.658,1.027
{34},{46},0.253,0.395,1.06
{46},{34},0.253,0.679,1.06
{32},{34},0.277,0.672,1.049
{34},{32},0.277,0.433,1.049
{34},{37},0.159,0.248,1.064
{37},{34},0.159,0.682,1.064
{34},{39},0.21,0.327,1.035
{39},{34},0.21,0.663,1.035
{34},{43},0.14,0.218,1.05
{43},{34},0.14,0.673,1.05
{34},{47},0.135,0.211,1.023
{47},{34},0.135,0.655,1.023
{5},{34},0.152,0.672,1.049
{34},{5},0.152,0.238,1.049
{33},{34},0.118,0.7,1.092
{34},{33},0.118,0.184,1.092
{29},{34},0.18,0.64,1.0
{34},{29},0.18,0.28,1.0
{34},{38},0.179,0.28,1.04
{38},{34},0.179,0.666,1.04
{44},{48},0.186,0.498,1.041
{48},{44},0.186,0.388,1.041
{44},{49},0.143,0.384,0.987
{49},{44},0.143,0.368,0.987
{15},{44},0.117,0.383,1.025
{44},{15},0.117,0.313,1.025
{16},{44},0.196,0.381,1.021
{44},{16},0.196,0.524,1.021
{26},{44},0.157,0.38,1.019
{44},{26},0.157,0.42,1.019
{2},{44},0.112,0.412,1.106
{44},{2},0.112,0.301,1.106
{12},{44},0.141,0.386,1.036
{44},{12},0.141,0.378,1.036
{42},{44},0.128,0.403,1.08
{44},{42},0.128,0.343,1.08
{44},{46},0.143,0.385,1.033
{46},{44},0.143,0.385,1.033
{32},{44},0.164,0.398,1.066
{44},{32},0.164,0.44,1.066
{39},{44},0.12,0.379,1.016
{44},{39},0.12,0.321,1.016
{29},{44},0.112,0.4,1.072
{44},{29},0.112,0.301,1.072
{38},{44},0.114,0.426,1.141
{44},{38},0.114,0.307,1.141
{48},{49},0.191,0.399,1.025
{49},{48},0.191,0.491,1.025
{3},{48},0.12,0.504,1.053
{48},{3},0.12,0.251,1.053
{15},{48},0.155,0.509,1.064
{48},{15},0.155,0.325,1.064
{16},{48},0.248,0.483,1.009
{48},{16},0.248,0.518,1.009
{26},{48},0.205,0.497,1.037
{48},{26},0.205,0.428,1.037
{41},{48},0.104,0.505,1.054
{48},{41},0.104,0.218,1.054
{2},{48},0.138,0.506,1.056
{48},{2},0.138,0.288,1.056
{12},{48},0.182,0.498,1.039
{48},{12},0.182,0.38,1.039
{35},{48},0.109,0.494,1.032
{48},{35},0.109,0.229,1.032
{42},{48},0.16,0.505,1.054
{48},{42},0.16,0.334,1.054
{46},{48},0.19,0.51,1.065
{48},{46},0.19,0.397,1.065
{32},{48},0.205,0.496,1.035
{48},{32},0.205,0.427,1.035
{37},{48},0.123,0.527,1.101
{48},{37},0.123,0.256,1.101
{39},{48},0.162,0.512,1.07
{48},{39},0.162,0.338,1.07
{43},{48},0.1,0.482,1.006
{48},{43},0.1,0.209,1.006
{47},{48},0.103,0.502,1.048
{48},{47},0.103,0.216,1.048
{5},{48},0.119,0.525,1.096
{48},{5},0.119,0.249,1.096
{29},{48},0.134,0.479,0.999
{48},{29},0.134,0.28,0.999
{38},{48},0.137,0.509,1.062
{48},{38},0.137,0.286,1.062
{15},{49},0.121,0.397,1.021
{49},{15},0.121,0.312,1.021
{16},{49},0.212,0.414,1.064
{49},{16},0.212,0.546,1.064
{26},{49},0.164,0.398,1.024
{49},{26},0.164,0.422,1.024
{2},{49},0.116,0.426,1.096
{49},{2},0.116,0.299,1.096
{12},{49},0.143,0.392,1.008
{49},{12},0.143,0.368,1.008
{42},{49},0.128,0.405,1.041
{49},{42},0.128,0.33,1.041
{46},{49},0.149,0.401,1.03
{49},{46},0.149,0.384,1.03
{32},{49},0.173,0.419,1.077
{49},{32},0.173,0.445,1.077
{39},{49},0.13,0.413,1.062
{49},{39},0.13,0.336,1.062
{29},{49},0.108,0.385,0.989
{49},{29},0.108,0.277,0.989
{38},{49},0.113,0.419,1.079
{49},{38},0.113,0.29,1.079
{3},{16},0.123,0.517,1.007
{16},{3},0.123,0.24,1.007
{3},{32},0.104,0.436,1.055
{32},{3},0.104,0.251,1.055
{15},{16},0.163,0.536,1.044
{16},{15},0.163,0.319,1.044
{15},{26},0.139,0.455,1.102
{26},{15},0.139,0.337,1.102
{12},{15},0.112,0.308,1.008
{15},{12},0.112,0.368,1.008
{15},{42},0.101,0.33,1.04
{42},{15},0.101,0.318,1.04
{15},{46},0.117,0.384,1.03
{46},{15},0.117,0.315,1.03
{15},{32},0.131,0.428,1.038
{32},{15},0.131,0.317,1.038
{16},{26},0.222,0.432,1.048
{26},{16},0.222,0.538,1.048
{16},{41},0.11,0.214,1.034
{41},{16},0.11,0.531,1.034
{2},{16},0.144,0.53,1.033
{16},{2},0.144,0.282,1.033
{12},{16},0.201,0.55,1.071
{16},{12},0.201,0.391,1.071
{16},{35},0.113,0.22,0.995
{35},{16},0.113,0.511,0.995
{16},{42},0.17,0.33,1.041
{42},{16},0.17,0.534,1.041
{16},{46},0.197,0.383,1.028
{46},{16},0.197,0.528,1.028
{16},{32},0.224,0.436,1.057
{32},{16},0.224,0.542,1.057
{16},{37},0.132,0.257,1.106
{37},{16},0.132,0.567,1.106
{16},{39},0.17,0.331,1.047
{39},{16},0.17,0.537,1.047
{16},{43},0.112,0.218,1.048
{43},{16},0.112,0.538,1.048
{16},{47},0.114,0.222,1.078
{47},{16},0.114,0.553,1.078
{5},{16},0.121,0.534,1.04
{16},{5},0.121,0.236,1.04
{16},{29},0.153,0.298,1.065
{29},{16},0.153,0.546,1.065
{16},{38},0.143,0.278,1.035
{38},{16},0.143,0.531,1.035
{2},{26},0.114,0.419,1.015
{26},{2},0.114,0.277,1.015
{12},{26},0.153,0.419,1.016
{26},{12},0.153,0.371,1.016
{26},{42},0.135,0.328,1.033
{42},{26},0.135,0.426,1.033
{26},{46},0.16,0.388,1.043
{46},{26},0.16,0.43,1.043
{26},{32},0.17,0.412,0.998
{32},{26},0.17,0.411,0.998
{26},{39},0.128,0.31,0.981
{39},{26},0.128,0.404,0.981
{26},{29},0.114,0.278,0.99
{29},{26},0.114,0.408,0.99
{26},{38},0.118,0.286,1.065
{38},{26},0.118,0.439,1.065
{2},{46},0.102,0.376,1.009
{46},{2},0.102,0.275,1.009
{2},{32},0.121,0.444,1.076
{32},{2},0.121,0.293,1.076
{12},{42},0.124,0.339,1.068
{42},{12},0.124,0.39,1.068
{12},{46},0.146,0.4,1.074
{46},{12},0.146,0.392,1.074
{12},{32},0.148,0.405,0.982
{32},{12},0.148,0.359,0.982
{12},{39},0.115,0.316,1.0
{39},{12},0.115,0.365,1.0
{12},{29},0.11,0.302,1.079
{29},{12},0.11,0.394,1.079
{12},{38},0.112,0.307,1.141
{38},{12},0.112,0.417,1.141
{42},{46},0.128,0.405,1.087
{46},{42},0.128,0.345,1.087
{32},{42},0.138,0.334,1.052
{42},{32},0.138,0.434,1.052
{39},{42},0.11,0.348,1.098
{42},{39},0.11,0.347,1.098
{32},{46},0.163,0.395,1.062
{46},{32},0.163,0.438,1.062
{39},{46},0.129,0.408,1.095
{46},{39},0.129,0.346,1.095
{29},{46},0.103,0.369,0.991
{46},{29},0.103,0.278,0.991
{32},{39},0.13,0.314,0.995
